,Text,Analysis
1, Sooo SAD I will miss you here in San Diego!!!,0
5, - some shameless plugging for the best Rangers forum on earth,1
6,2am feedings for the baby are fun when he is all smiles and coos,1
7,Soooo high,1
9, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),1
10," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1
11,I really really like the song Love Story by Taylor Swift,1
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... ",0
20," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1
21,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,1
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,0
25,"the free fillin` app on my ipod is fun, im addicted",1
26,  I`m sorry.,0
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,1
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,1
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0
33, That`s very funny.  Cute kids.,1
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1
39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",1
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",0
41,im an avid fan of **** magazine and i love your magazines,1
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",0
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,1
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",1
49, which case? I got a new one last week and I`m not thrilled at all with mine.,0
50, Then you should check out  and connect with other tweeple who hate twitter,0
51," also bored at school, its my third freelesson( freistunde )",0
53, it is ****...u have dissappointed me that past few days,0
54, romance zero is funny,1
55, I`d rather do the early run..but I am a morning runner,1
56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0
59, what fun are you speaking of?,1
61, haha yes,1
62,I give in to easily,1
63,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,1
66,  He`s awesome... Have you worked with him before? He`s a good friend.,1
67,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1
71, a celtics-lakers rematch sounds better don`t you think? lol,1
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",1
78,I am sooo tired,0
81, lucky kid...i so wanna see loserville  pity im in oz....,1
83,Sick. With a flu like thing.,0
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0
85,Happy Star Wars day everyone! and Enjoy the holiday (UK),1
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1
88,i miss you bby      wish you were going tomorrow to make me do good.,1
89, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,1
90, SWEEEEET - San Fran is awesome!!!!  Love it there,1
91,_Mounce yes and it lasts way past my bedtime!,0
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0
94,eating ice cream and then getting ready for graduation.,1
